job_title,skills
admin big data,"aws, azure, big data architecture, cloud computing, data governance, data lakes, data modeling, data warehousing, etl, hadoop, mapreduce, nosql, security, spark"
ansible operations engineer,"ansible, automation, aws, ci/cd, cloud platforms, docker, infrastructure as code, kubernetes, linux, networking, python, scripting, terraform"
artifactory administrator,"artifactory, build automation, ci/cd, cloud computing, docker, git, gradle, jenkins, jfrog cli, linux, maven, version control"
artificial intelligence / machine learning leader,"ai strategy, budgeting, cloud computing, data science, deep learning, machine learning, project management, stakeholder management"
artificial intelligence / machine learning sr.leader,"ai strategy, budgeting, cloud computing, data science, deep learning, innovation, machine learning, mentoring, project management, stakeholder management"
artificial intelligence architect,"ai architecture, aws, azure, cloud computing, data science, deep learning, machine learning, model deployment, scalability, security, system design"
artificial intelligence researcher,"algorithm design, data analysis, deep learning, machine learning, python, pytorch, research methods, scientific writing, statistical analysis, tensorflow"
big data architect,"aws, azure, cloud computing, data governance, data lakes, data modeling, data warehousing, etl, hadoop, kafka, mapreduce, nosql, security, spark"
big data engineer,"cloud computing, data pipelines, data warehousing, etl, hadoop, java, kafka, nosql, python, scala, spark, sql"
big data specialist,"cloud computing, data analysis, data mining, data modeling, data visualization, etl, hadoop, nosql, spark, sql, statistical analysis"
build and release engineer,"automation, build tools, ci/cd, docker, git, gradle, jenkins, kubernetes, linux, maven, scripting"
build engineer,"ant, build automation, ci/cd, git, gradle, jenkins, linux, maven, scripting, version control"
chef operations engineer,"automation, aws, azure, chef, cloud computing, configuration management, infrastructure as code, linux, ruby"
data analysts,"data cleansing, data mining, data modeling, data visualization, etl, excel, power bi, python, r, sql, statistics, tableau"
data architect,"aws, azure, cloud computing, data governance, data integration, data modeling, data security, data warehousing, etl, nosql, sql"
devops architect,"ansible, automation, aws, azure, ci/cd, cloud computing, docker, google cloud, kubernetes, networking, security, terraform"
devops engineer,"ansible, automation, aws, azure, ci/cd, cloud computing, docker, git, jenkins, kubernetes, linux, networking, python, scripting, terraform"
elk engineer,"aws, azure, data visualization, elasticsearch, kibana, linux, log management, logstash, networking, security"
gerrit administrator,"automation, code review, gerrit, git, linux, scripting, version control"
jenkins engineer,"automation, build automation, ci/cd, docker, groovy, jenkins, kubernetes, linux, scripting, version control"
jira administrator,"agile methodologies, atlassian suite, jira, project management, user management, workflow configuration"
kubernetes operations engineer,"automation, aws, azure, ci/cd, cloud computing, docker, kubernetes, linux, networking, security"
machine learning architect,"aws, azure, cloud computing, data science, deep learning, machine learning, model deployment, scalability, security, system design"
machine learning engineer,"algorithms, computer vision, data analysis, data science, deep learning, keras, machine learning, natural language processing, python, pytorch, tensorflow"
operations engineer,"automation, cloud computing, linux, monitoring, networking, scripting, system administration, troubleshooting, windows server"
principle engineer in artificial intelligence,"ai strategy, cloud computing, data science, deep learning, innovation, machine learning, mentoring, python, system design, tensorflow"
principle engineer in big data,"big data architecture, cloud computing, data governance, data warehousing, hadoop, innovation, kafka, mentoring, spark"
principle engineer in data analysis,"data analysis, data modeling, data visualization, innovation, mentoring, python, sql, statistics"
principle engineer in machine learning,"cloud computing, deep learning, innovation, machine learning, mentoring, model deployment, python, tensorflow"
production support engineer,"automation, databases, itil, linux, monitoring, networking, scripting, troubleshooting, windows server"
puppet operations engineer,"automation, aws, azure, cloud computing, configuration management, infrastructure as code, linux, puppet, ruby"
senior build and release engineer,"automation, build tools, ci/cd, docker, git, gradle, jenkins, kubernetes, leadership, linux, maven, mentoring, scripting"
senior build engineer,"ant, build automation, ci/cd, git, gradle, jenkins, leadership, linux, maven, mentoring, scripting, version control"
senior devops engineer,"ansible, automation, aws, azure, ci/cd, cloud computing, docker, git, jenkins, kubernetes, leadership, linux, networking, python, terraform"
site reliability engineer (kubernetes â docker),"automation, ci/cd, cloud computing, docker, kubernetes, linux, monitoring, networking, sre, troubleshooting"
splunk engineer,"alerting, aws, azure, dashboards, data analysis, linux, log management, scripting, security, splunk"
.net developer,".net, asp.net, c#, cloud computing, entity framework, git, linq, mvc, sql server, web api"
accessibility specialist,"accessibility testing, ada compliance, aria, assistive technologies, css, html, javascript, ui/ux, wcag"
agile project manager,"agile methodologies, confluence, jira, kanban, project management, scrum, stakeholder management"
android developer,"android sdk, android studio, firebase, java, kotlin, mobile development, rest apis, sql, ui/ux design"
ansible automation engineer,"ansible, automation, aws, azure, cloud computing, infrastructure as code, linux, networking, python, scripting"
appdynamics engineer,".net, alerting, appdynamics, application performance monitoring, cloud computing, java, metrics, troubleshooting"
application security engineer,"application security, cloud security, dast, owasp, penetration testing, sast, secure coding, vulnerability management"
artifactory engineer,"artifactory, build automation, ci/cd, cloud computing, docker, git, gradle, jenkins, linux, maven, version control"
aws devops engineer,"ansible, automation, aws, ci/cd, cloudformation, devops, docker, kubernetes, linux, scripting, terraform"
aws solutions architect,"aws, aws lambda, cloud architecture, cloud security, cloudformation, devops, networking, security, terraform"
azure devops engineer,"ansible, arm templates, automation, azure, ci/cd, devops, docker, kubernetes, linux, scripting, terraform"
bamboo engineer,"atlassian suite, automation, bamboo, build automation, ci/cd, git, scripting, version control"
bitbucket engineer,"atlassian suite, bitbucket, branching strategies, ci/cd, code review, git, version control"
blockchain developer,"blockchain, consensus algorithms, cryptocurrency, distributed ledger, ethereum, javascript, node.js, smart contracts, solidity"
business systems analyst,"bpmn, business analysis, data analysis, process improvement, requirements gathering, sql, stakeholder management, uml"
c# developer,".net, asp.net, c#, cloud computing, entity framework, git, linq, mvc, sql server, web api"
chef inspec engineer,"automation, chef inspec, cloud computing, compliance as code, configuration management, linux, security"
cloud administrator,"automation, aws, azure, cloud computing, google cloud, linux, networking, scripting, security, virtualization"
cloud architect,"automation, aws, azure, ci/cd, cloud architecture, cloud security, docker, google cloud, kubernetes, microservices, networking, terraform"
cloud automation engineer,"ansible, automation, aws, azure, ci/cd, cloud computing, google cloud, python, scripting, terraform"
cloud engineer,"automation, aws, azure, cloud computing, google cloud, linux, networking, scripting, security, virtualization"
cloud network engineer,"aws, azure, cloud networking, firewalls, google cloud, routing, security groups, subnets, vpc"
cloud security engineer,"aws, azure, cloud security, compliance, encryption, gcp, iam, identity and access management, vulnerability management"
cnc programmer,"blueprints, cad/cam, cnc programming, g-code, machining, manufacturing processes, toolpath optimization"
coder,"algorithms, data structures, debugging, problem solving, programming, software development"
computer graphics animator,"adobe creative suite, blender, maya, motion graphics, storyboarding, visual effects"
computer hardware engineer,"circuit design, embedded systems, hardware design, microprocessors, pcb design, testing, validation"
computer network architect,"cloud networking, firewalls, lan/wan, network design, routing, security, switching, tcp/ip, vpn"
computer programmer,"algorithms, c++, data structures, debugging, java, programming, python, software development"
computer research scientist,"algorithms, data analysis, machine learning, programming, publications, research methods, scientific writing"
computer systems analyst,"data analysis, process improvement, requirements gathering, sql, stakeholder management, system analysis, uml"
confluence engineer,"atlassian suite, collaboration, confluence, documentation, user management, workflow configuration"
consul engineer,"automation, cloud computing, configuration management, consul, networking, service discovery"
coverage.py engineer,"ci/cd, code coverage, coverage.py, python, quality assurance, testing"
data analyst,"data cleansing, data mining, data modeling, data visualization, etl, excel, power bi, python, r, sql, statistics, tableau"
data engineer,"cloud computing, data modeling, data pipelines, data warehousing, etl, hadoop, python, spark, sql"
data modeler,"data governance, data modeling, data warehousing, database design, er diagrams, sql"
data scientist,"cloud computing, data science, data visualization, data wrangling, hadoop, machine learning, python, r, spark, sql, statistics"
database administrator,"backup and recovery, database design, database management, mysql, oracle, performance tuning, postgresql, sql"
datadog engineer,"alerting, cloud computing, dashboards, datadog, linux, metrics, monitoring, troubleshooting"
developer,"algorithms, c++, data structures, debugging, java, programming, python, software development"
devops architect,"ansible, automation, aws, azure, ci/cd, cloud computing, docker, google cloud, kubernetes, networking, security, terraform"
devops engineer,"ansible, automation, aws, azure, ci/cd, cloud computing, docker, git, jenkins, kubernetes, linux, networking, python, scripting, terraform"
devops manager,"automation, budgeting, ci/cd, cloud computing, devops, leadership, project management"
devsecops architect,"ansible, ci/cd, cloud security, devsecops, docker, kubernetes, security automation, terraform, vulnerability management"
devsecops engineer,"aws, ci/cd, cloud security, continuous security, devsecops, docker, kubernetes, penetration testing, terraform, vulnerability scanning"
director of engineering,"agile methodologies, budgeting, leadership, project management, software development"
docker engineer,"automation, ci/cd, cloud computing, containerization, docker, kubernetes, linux, networking"
elk engineer,"aws, azure, data visualization, elasticsearch, kibana, linux, log management, logstash, networking, security"
embedded software engineer,"embedded c, firmware development, hardware design, microcontrollers, rtos, testing"
entry level developer,"algorithms, css, data structures, git, html, java, javascript, python, sql"
entry level network engineer,"linux, networking, routing, switching, tcp/ip, troubleshooting, windows server"
entry level programmer,"algorithms, c++, data structures, debugging, java, programming, python"
entry level software developer,"algorithms, css, data structures, git, html, java, javascript, python, sql"
entry level software engineer,"algorithms, css, data structures, git, html, java, javascript, python, sql"
entry level web developer,"css, git, html, javascript, ui/ux basics, web development fundamentals"
envoy engineer,"cloud computing, docker, envoy, kubernetes, networking, security, service mesh, traffic management"
falco engineer,"cloud computing, docker, falco, kubernetes, security, system monitoring, threat detection"
fluentd engineer,"cloud computing, data collection, data processing, elasticsearch, fluentd, kibana, log management"
fortify engineer,".net, fortify, java, security, software development, static code analysis, vulnerability management"
frameworks specialist,"angular, django, framework development, java, javascript, python, react, spring framework, vue.js"
front end developer,"angular, css, html, javascript, node.js, react, sass, typescript, ui/ux design, vue.js"
front end web developer,"angular, css, html, javascript, node.js, react, sass, typescript, ui/ux design, vue.js"
full stack developer,"angular, ci/cd, css, devops, django, express.js, html, javascript, mongodb, node.js, python, react, sql"
full stack java developer/programmer/engineer,"cloud computing, css, git, hibernate, html, java, javascript, jenkins, junit, maven, microservices, react, rest apis, spring framework, sql"
full stack python developer/programmer/engineer,"algorithms, cloud computing, css, data structures, django, docker, flask, git, html, javascript, linux, python, react, rest apis, sql"
game developer,"c#, c++, game design, game engines, javascript, unity, unreal engine, vr development"
gcp devops engineer,"ansible, automation, ci/cd, devops, docker, google cloud, kubernetes, linux, scripting, terraform"
gerrit engineer,"automation, code review, gerrit, git, linux, scripting, version control"
git engineer,"automation, branching strategies, ci/cd, code review, git, scripting, version control"
github engineer,"automation, ci/cd, git, github, github actions, scripting, version control"
gitlab engineer,"automation, ci/cd, git, gitlab, gitlab ci, scripting, version control"
gradle engineer,"build automation, ci/cd, git, gradle, groovy, java, version control"
grafana engineer,"alerting, cloud computing, dashboards, data visualization, grafana, linux, metrics, monitoring"
groovy engineer,"automation, build automation, groovy, java, jenkins, scripting"
information architect,"content strategy, information architecture, prototyping, ui/ux design, user research, wireframing"
information security analyst,"firewalls, ids/ips, network security, penetration testing, security, security auditing, vulnerability management"
interaction designer,"interaction design, prototyping, ui/ux design, usability testing, user research, wireframing"
ios developer,"ios sdk, mobile development, objective-c, rest apis, sql, swift, ui/ux design, xcode"
istio engineer,"cloud computing, docker, istio, kubernetes, networking, security, service mesh, traffic management"
it manager,"agile methodologies, budgeting, cloud computing, cybersecurity, it infrastructure, networking, project management"
jacoco engineer,"ci/cd, code coverage, jacoco, java, quality assurance, testing"
java developer,"cloud computing, git, hibernate, java, jenkins, junit, maven, microservices, rest apis, spring framework, sql"
javascript developer,"angular, css, html, javascript, node.js, react, sass, typescript, ui/ux design, vue.js"
jenkins engineer,"automation, build automation, ci/cd, docker, groovy, jenkins, kubernetes, linux, scripting, version control"
jira engineer,"agile methodologies, atlassian suite, jira, project management, user management, workflow configuration"
jr developer,"algorithms, css, data structures, git, html, java, javascript, python, sql"
junior developer,"algorithms, css, data structures, git, html, java, javascript, python, sql"
junior front end developer,"css, git, html, javascript, react, ui/ux basics, vue.js"
junior ios developer,"git, ios sdk, objective-c, swift, ui/ux basics, xcode"
junior software developer,"algorithms, css, data structures, git, html, java, javascript, python, sql"
junior software engineer,"algorithms, css, data structures, git, html, java, javascript, python, sql"
junior web developer,"css, git, html, javascript, ui/ux basics, web development fundamentals"
junit engineer,"ci/cd, java, junit, test automation, testing, unit testing"
kubernetes administrator,"automation, aws, azure, ci/cd, cloud computing, docker, kubernetes, linux, networking, security"
kubernetes engineer,"automation, aws, azure, ci/cd, cloud computing, docker, kubernetes, linux, networking, security"
machine learning engineer,"algorithms, computer vision, data analysis, data science, deep learning, keras, machine learning, natural language processing, python, pytorch, tensorflow"
maven engineer,"build automation, ci/cd, dependency management, git, java, maven, version control"
micro services / api lead designer,"api design, cloud computing, java, microservices, python, rest apis, security, soa"
mobile app developer,"android sdk, flutter, ios, java, kotlin, mobile development, objective-c, react native, swift, ui/ux design"
mobile application developer,"android sdk, flutter, ios, java, kotlin, mobile development, objective-c, react native, swift, ui/ux design"
mulesoft developer,"anypoint platform, api development, integration, java, mulesoft, rest apis, soa"
nagios engineer,"alerting, linux, monitoring, nagios, networking, scripting, system administration"
network and systems administrator,"automation, linux, networking, scripting, system administration, troubleshooting, windows server"
network engineer,"cisco, firewalls, lan/wan, networking protocols, routing, security, switching, tcp/ip, vpn"
new grad software engineer,"algorithms, css, data structures, git, html, java, javascript, python, sql"
new relic engineer,".net, alerting, application performance monitoring, cloud computing, java, metrics, new relic, troubleshooting"
nexus engineer,"artifact repository, build automation, ci/cd, docker, gradle, maven, nexus"
nomad engineer,"automation, cloud computing, container orchestration, docker, linux, networking, nomad"
notary engineer,"container security, cryptography, docker, notary, security, trust management"
octopus deploy engineer,".net, ci/cd, cloud computing, deployment automation, octopus deploy, powershell, scripting"
openshift engineer,"automation, ci/cd, cloud computing, docker, kubernetes, linux, openshift, security"
openstack engineer,"automation, cloud computing, linux, networking, openstack, scripting, virtualization"
oracle developer,"database design, etl, oracle, performance tuning, pl/sql, sql"
oracle sql developer,"database development, etl, oracle sql developer, performance tuning, pl/sql, sql"
packer engineer,"automation, aws, azure, cloud computing, google cloud, infrastructure as code, packer"
php developer,"css, git, html, javascript, laravel, mysql, php, restful apis, symfony"
powershell engineer,"active directory, automation, cloud computing, powershell, scripting, windows server"
product manager,"agile methodologies, product management, roadmap planning, stakeholder management, user research"
programmer,"algorithms, c++, data structures, debugging, java, programming, python, software development"
programmer analyst,"data analysis, data modeling, process improvement, programming, requirements gathering, sql"
prometheus engineer,"alerting, cloud computing, docker, kubernetes, metrics, monitoring, prometheus"
puppet engineer,"automation, aws, azure, cloud computing, configuration management, infrastructure as code, linux, puppet, ruby"
pytest engineer,"ci/cd, pytest, python, test automation, testing, unit testing"
python developer,"algorithms, cloud computing, data structures, django, docker, flask, git, linux, python, rest apis, sql"
qa engineer,"agile testing, automation testing, ci/cd, git, jenkins, junit, performance testing, python, selenium, test automation, testng"
react developer,"css, git, html, javascript, node.js, react, redux, ui/ux design"
robotics engineer,"actuators, c++, control systems, embedded systems, python, robotics, ros, sensors"
ruby on rails developer,"css, git, html, javascript, rest apis, ruby, ruby on rails, sql"
salesforce developer,"apex, lightning, rest apis, salesforce, salesforce administration, soql, visualforce"
search engine optimization,"analytics, content marketing, keyword research, off-page optimization, on-page optimization, seo"
security specialist,"firewalls, ids/ips, network security, penetration testing, security, security auditing, vulnerability management"
selenium engineer,"ci/cd, java, python, selenium, test automation, testing frameworks, webdriver"
senior ansible development engineer,"ansible, automation, aws, azure, cloud computing, infrastructure as code, leadership, linux, networking, python, scripting"
senior cloud architect,"aws, azure, cloud architecture, docker, google cloud, kubernetes, leadership, microservices, security"
senior devops architect,"ansible, automation, aws, azure, ci/cd, cloud computing, docker, google cloud, kubernetes, leadership, networking, security, terraform"
senior devops engineer,"ansible, automation, aws, azure, ci/cd, cloud computing, docker, git, jenkins, kubernetes, leadership, linux, networking, python, terraform"
senior devsecops architect,"ansible, ci/cd, cloud security, devsecops, docker, kubernetes, leadership, security automation, terraform, vulnerability management"
senior sre architect,"automation, ci/cd, cloud platforms, devops, docker, kubernetes, leadership, linux, monitoring, networking, python, sre"
senior sre engineer,"automation, ci/cd, cloud platforms, devops, docker, kubernetes, leadership, linux, monitoring, networking, python, sre"
sharepoint developer,".net, c#, javascript, powershell, rest apis, sharepoint, sharepoint framework"
software developer,"algorithms, c++, data structures, debugging, java, programming, python, software development"
software engineer,"algorithms, c++, ci/cd, cloud computing, data structures, git, java, jenkins, python, software design"
sonarqube engineer,".net, ci/cd, code quality, java, security, sonarqube, static code analysis"
splunk engineer,"alerting, aws, azure, dashboards, data analysis, linux, log management, scripting, security, splunk"
splunk enterprise security engineer,"incident response, security analysis, splunk enterprise security, threat detection"
sql developer,"data modeling, database design, etl, performance tuning, sql, sql server, ssis, ssrs, t-sql"
sre architect,"automation, ci/cd, cloud architecture, docker, incident management, kubernetes, monitoring, networking, sre"
sre engineer,"automation, ci/cd, cloud platforms, devops, docker, kubernetes, linux, monitoring, python, sre"
systems administrator,"linux administration, networking, scripting, troubleshooting, virtualization, windows server administration"
systems engineer,"cloud computing, linux administration, networking, systems design, windows server administration"
teamcity engineer,"build automation, ci/cd, git, version control"
tech sales engineer,"customer engagement, networking technologies, product knowledge, technical sales"
technical account manager,"account management, customer relationship management (crm), project management, technical support"
technical lead,"agile methodologies, project management, software development lifecycle (sdlc)"
terraform engineer,"aws, azure, google cloud, infrastructure as code (iac), terraform"
tfs engineer,".net development tools, .net framework"
udeploy engineer,"automation, ci/cd, deployment strategies, udeploy (urbancode deploy), version control"
ui designer,"adobe creative suite, figma, prototyping, ui design principles, user testing, wireframing"
ui developer,"angularjs, javascript, jquery, reactjs, responsive design"
unity developer,"animation, c#, game development principles"
ux designer,"interaction design, prototyping, usability testing, user experience design principles, user research, wireframing"
vault engineer,"access control, cloud security, encryption, hashicorp vault, secrets management"
web designer (ui/ux designer),"adobe creative suite, figma, prototyping, ui/ux design, wireframing"
web developer,"angularjs, javascript, node.js, php, react"
wordpress developer,"javascript, mysql, php, wordpress"
xl deploy engineer,"ci/cd, deployment automation, version control, xl deploy"
zabbix engineer,"alerting systems, monitoring tools, network monitoring, zabbix"
accessibility specialist,"css, html, javascript, user experience design, web accessibility guidelines"
